cohort,source_count,encoder,contrast,metric,paired_difference,ci95_low,ci95_high,participant_win_fraction,participants
hcp83,8,matched_representation,random_robust: qsf minus heat_raw18,normalized_mse,-0.003772569783668515,-0.00388479318763215,-0.0036566453884225017,0.9780521262002744,729
hcp83,8,matched_representation,random_robust: qsf minus heat_norm18,normalized_rmse,-0.01987754760658957,-0.020346203854729423,-0.01940906017404327,0.9945130315500685,729
hcp83,8,matched_representation,random_robust: qsf minus heat_norm18,normalized_mse,-0.005681947724541844,-0.0058264358610208965,-0.0055404246898853255,0.9917695473251029,729
hcp83,8,matched_representation,selected_robust: qsf minus heat_raw18,normalized_rmse,-0.014529920208384528,-0.014935432225683403,-0.014110663780008604,0.9794238683127572,729
hcp83,8,matched_representation,selected_robust: qsf minus heat_raw18,normalized_mse,-0.0036750429621128567,-0.0037883059973521796,-0.003557686638034375,0.9794238683127572,729
hcp83,8,matched_representation,selected_robust: qsf minus heat_norm18,normalized_rmse,-0.018125965140505622,-0.0185492899433197,-0.01770704356771145,0.9972565157750343,729
hcp83,8,matched_representation,selected_robust: qsf minus heat_norm18,normalized_mse,-0.004703413658134065,-0.0048218857575933,-0.004584507581085424,0.9972565157750343,729
hcp83,16,qsf,selected_robust minus random_robust,normalized_rmse,-0.008721762559320612,-0.00912666489322929,-0.008329086451310015,0.9643347050754458,729
hcp83,16,qsf,selected_robust minus random_robust,normalized_mse,-0.0020737440459537137,-0.002174868031321347,-0.0019722208572509462,0.9657064471879286,729
hcp83,16,qsf,random_robust minus random_ordinary,normalized_rmse,-0.0032239013457335585,-0.003474917937993803,-0.0029780987957747865,0.9204389574759945,729
hcp83,16,qsf,random_robust minus random_ordinary,normalized_mse,-0.0008044302247573621,-0.000874545342699219,-0.0007377619397261779,0.9245541838134431,729
hcp83,16,qsf,ordinary_selected minus random_ordinary,normalized_rmse,-0.009551153880384656,-0.009965666403792763,-0.009154869406305497,0.9657064471879286,729
hcp83,16,qsf,ordinary_selected minus random_ordinary,normalized_mse,-0.002329923961233744,-0.002433834439972675,-0.0022237453778701376,0.9670781893004116,729
hcp83,16,qsf,selected_sources_ordinary minus random_ordinary,normalized_rmse,-0.009341854123941777,-0.009745473947339994,-0.008931503631776864,0.9615912208504801,729
hcp83,16,qsf,selected_sources_ordinary minus random_ordinary,normalized_mse,-0.002282056350571839,-0.002388584534881337,-0.0021732543958871823,0.9615912208504801,729
hcp83,16,qsf,selected_robust minus selected_sources_ordinary,normalized_rmse,-0.002603809781112392,-0.002848937539498431,-0.002372425505366277,0.8353909465020576,729
hcp83,16,qsf,selected_robust minus selected_sources_ordinary,normalized_mse,-0.0005961179201392368,-0.0006562121032688923,-0.0005370707881182396,0.8381344307270233,729
hcp83,16,qsf,selected_robust minus random_ordinary,normalized_rmse,-0.01194566390505417,-0.012436119625224564,-0.011471947595836413,0.9821673525377229,729
hcp83,16,qsf,selected_robust minus random_ordinary,normalized_mse,-0.002878174270711076,-0.00301141027892989,-0.002750470075874754,0.9821673525377229,729
hcp83,16,qsf,spatial_robust minus selected_robust,normalized_rmse,0.0010218768329839398,0.0007623908854330887,0.0012840262804279202,0.37585733882030176,729
hcp83,16,qsf,spatial_robust minus selected_robust,normalized_mse,0.00016700303123943765,0.0001087568983461736,0.00022689671508798435,0.40054869684499317,729
hcp83,16,qsf,floor_random_robust minus random_robust,normalized_rmse,0.005603487769566521,0.005320558370068058,0.005945592179202163,0.024691358024691357,729
hcp83,16,qsf,floor_random_robust minus random_robust,normalized_mse,0.0013481905959964397,0.0012535450121615582,0.0014762932713360767,0.02194787379972565,729
hcp83,16,qsf,random_robust minus template_random_robust,normalized_rmse,0.08493893489195338,0.0840554350393665,0.0858444568186907,0.0,729
